UBR2	NOA
USP26	NOA
USP26	OATS
USP9X	NOA
USP9Y	NOA
UTP14C	NOA
VHL	OG
WDR11	NOA
WDR19	MMAF
WDR19	PCD
WEE2	FF
WEE2	OMD
WNK3	NOA
WRN	OG
WRN	POF
WT1	DSD
WT1	OG
WT1	POF
XPA	OG
XPC	OG
XRCC2	NOA
XRCC2	OG
XRCC4	POF
YBX2	NOA
YBX3	NOA
ZAR1	PreImpA
ZAR1	FF
ZFAND3	NOA
ZFP36L2	PreImpA
ZFX	NOA
ZMYM3	NOA
ZMYND10	PCD
ZMYND12	MMAF
ZMYND15	Macro
ZMYND15	NOA
ZP1	OMD
ZP1	POF
ZP2	OMD
ZP3	OMD
ZSWIM7	NOA
ZSWIM7	POF
